date,new case,confirmed cases,At Isolation Centres,recovered,death,in quarantine,out of quarantine ,female,male
2020-04-26 11:00,7,79,,10,3,889,93,45,58
2020-04-27 11:00,6,5,,10,4,1187,99,49,50
2020-04-28 11:00,5,8,,12,4,1192,104,49,51
2020-04-29 11:00,5,104,88,12,4,1192,1139,49,51
2020-04-30 11:00,12,116,98,14,4,1166,1426,55,61
2020-05-01 11:00,8,124,96,21,7,1166,1448,58,68
2020-05-01 11:00,12,136,108,21,7,2642,1491,61,75
2020-05-02 11:00,19,155,126,21,8,1182,1535,72,83
2020-05-03 11:00,2,157,120,29,8,1341,1576,72,85
2020-05-04 11:00,12,178,132,37,9,1385,1721,82,96
2020-05-05 11:00,21,199,145,43,11,1401,1732,88,111
2020-05-06 11:00,26,225,157,54,14,1660,1759,102,123
2020-05-07 11:00,6,231,161,54,16,1744,1806,103,128
2020-05-08 11:00,26,257,186,54,17,1792,1806,113,144
2020-05-09 11:00,34,291,215,58,18,1661,1968,128,163
2020-05-10 11:00,16,307,222,67,18,2051,1989,138,169
2020-05-11 11:00,31,338,247,72,19,2067,2174,158,180
2020-05-12 11:00,0,338,246,72,20,2030,2274,158,180
2020-05-13 11:00,49,387,269,97,21,2238,2264,186,201
2020-05-14 11:00,0,387,264,97,26,2238,2264,186,201
2020-05-15 11:00,39,447,323,97,27,2240,2388,219,228
2020-05-16 11:00,15,462,327,106,29,2253,2513,227,235
2020-05-17 11:00,43,505,332,141,32,2089,2593,240,265
2020-05-18 11:00,14,519,338,148,33,2111,2632,250,269
2020-05-19 11:00,15,534,334,167,33,2033,2846,256,278
2020-05-20 11:00,36,570,331,205,34,1978,2944,273,297
2020-05-21 11:00,15,585,345,205,35,1986,3303,282,303
2020-05-22 11:00,21,606,338,230,38,2118,3065,290,316
2020-05-23 11:00,15,621,341,241,39,2143,3196,295,326
2020-05-24 11:00,100,721,440,241,40,1939,3458,375,346
2020-05-25 11:00,14,735,400,293,42,1899,3522,383,352
2020-05-26 11:00,19,754,413,297,44,1962,3588,394,360
2020-05-27 11:00,28,782,440,297,45,2068,3651,404,378
2020-05-28 11:00,30,812,406,361,45,2094,3716,404,378
2020-05-29 11:00,17,829,398,386,45,2160,3762,419,410
2020-05-30 11:00,23,852,391,415,46,2183,3830,434,418
2020-05-31 11:00,9,861,361,454,46,2251,3890,439,422
2020-06-01 11:00,4,865,344,475,46,2046,4302,441,424
