date,bo,bonthe,bombali,falaba,kailahun,kambia,karene,kono,kenema,koinadugu,moyamba,portloko,pujehun,tonkolili,western rural,western urban
2020-04-26 11:00,0,0,1,0,0,0,0,0,3,0,0,6,0,0,15,77
2020-04-27 11:00,0,0,1,0,0,0,0,0,3,0,0,6,0,0,15,77
2020-04-28 11:00,0,0,1,0,0,0,0,0,3,0,0,6,0,2,15,77
2020-05-01 11:00,0,10,6,0,0,0,0,0,4,0,0,7,0,3,19,87
2020-05-02 11:00,0,10,6,0,0,0,0,0,5,0,0,7,0,3,24,100
2020-05-03 11:00,1,10,6,0,0,0,0,0,6,0,0,7,0,3,24,100
2020-05-04 11:00,1,10,7,0,0,0,0,0,6,0,0,7,0,3,25,119
2020-05-05 11:00,1,10,7,0,0,0,0,0,10,0,0,7,0,3,27,134
2020-05-06 11:00,1,10,7,0,0,0,0,0,10,0,0,7,0,3,27,160
2020-05-07 11:00,1,10,7,0,0,0,0,0,10,1,0,7,0,4,29,162
2020-05-08 11:00,2,10,8,0,0,0,0,0,10,1,0,7,0,4,34,181
2020-05-09 11:00,2,12,8,0,0,0,0,0,10,1,0,7,0,4,34,213
2020-05-10 11:00,6,12,8,2,0,0,0,0,10,2,0,8,0,4,34,221
2020-05-11 11:00,11,12,8,2,0,0,0,0,10,2,0,8,0,4,36,245
2020-05-12 11:00,11,12,8,2,0,0,0,0,10,2,0,8,0,4,36,245
2020-05-13 11:00,11,12,9,2,2,0,0,0,10,2,0,8,0,4,36,291
2020-05-14 11:00,11,12,9,2,2,0,0,0,10,2,0,8,0,4,36,291
2020-05-15 11:00,11,13,9,2,4,0,0,0,10,2,1,8,0,4,39,344
2020-05-16 11:00,20,13,9,3,4,0,0,0,10,2,1,8,0,4,38,350
2020-05-17 11:00,22,13,12,3,4,0,0,0,24,2,1,8,0,4,38,374
2020-05-18 11:00,24,13,12,3,10,0,0,0,24,2,1,8,2,4,38,378
2020-05-19 11:00,24,13,13,3,10,0,0,0,24,2,4,8,2,4,45,382
2020-05-20 11:00,24,13,14,4,12,0,0,0,24,2,4,8,2,4,45,414
2020-05-21 11:00,24,13,14,4,13,0,0,3,24,2,4,8,2,7,45,422
2020-05-22 11:00,25,13,14,4,14,0,0,3,24,2,5,12,2,6,46,436
2020-05-23 11:00,25,13,15,4,14,0,0,3,24,2,5,12,2,6,47,449
2020-05-24 11:00,31,13,15,4,14,1,0,4,24,2,5,12,2,7,120,467
2020-05-25 11:00,31,14,15,4,17,1,0,4,26,2,5,12,2,7,121,474
2020-05-26 11:00,40,14,17,4,17,1,0,4,27,2,5,17,2,7,120,477
2020-05-27 11:00,42,14,23,4,17,1,0,4,27,2,5,18,2,7,129,487
2020-05-28 11:00,42,14,23,4,17,1,0,4,27,2,5,18,2,7,129,487
2020-05-29 11:00,42,20,19,4,18,1,0,6,29,2,8,18,2,7,138,515
2020-05-30 11:00,42,28,19,4,19,1,0,6,36,3,8,18,2,7,138,521
2020-05-31 11:00,42,28,19,4,19,1,0,6,40,3,10,18,2,7,138,524
2020-06-01 11:00,42,28,19,4,19,1,0,6,40,3,10,18,2,7,138,528
