district,d_code,d_id,total_pop,pop_share,t_male,t_female,s_ratio,t_rural,t_urban,prop_urban,t_h_pop,h_male,h_female,t_i_pop,i_male,i_female,working_pop,depend_pop
Bo,SLE0301,3228959,575478,8.1,280569,294909,95,380397,195081,33.9,574026,279640,294386,1452,929,523,317046,258432
Bombali,SLE0201,3230900,606544,8.6,296683,309861,95.6,433486,173058,28.5,605741,296123,309618,803,560,243,325640,280904
Bonthe,SLE0302,2655937,200781,2.8,99014,101767,97.3,162796,37985,18.9,200771,99007,101764,10,7,3,106936,93845
Kailahun,SLE0101,3230901,526379,7.4,260586,265793,97.9,373093,153286,29.1,525674,260060,265614,705,526,179,288864,237515
Kambia,SLE0202,3228942,345474,4.9,165541,179933,91.9,244630,100844,29.2,344095,164749,179346,1379,792,587,176868,168606
Kenema,SLE0102,3230902,609891,8.6,301104,308787,97.4,338192,271699,44.5,609427,300755,308672,464,349,115,342971,266920
Koinadugu,SLE0203,3230906,409372,5.8,204498,204874,99.6,335847,73525,18,408687,203951,204736,685,547,138,214049,195323
Kono,SLE0103,3230907,506100,7.1,252751,253349,99.6,381438,124662,24.6,505491,252295,253196,609,456,153,276752,229348
Moyamba,SLE0303,2541142,318588,4.5,153699,164889,93.3,295891,22697,7.1,318002,153467,164535,586,232,354,165578,153010
Port Loko,SLE0204,2541143,615376,8.7,294954,320422,91.9,455159,160217,26,612920,293456,319464,2456,1498,958,324429,290947
Pujehun,SLE0304,2607579,346461,4.9,168869,177592,95.1,318344,28117,8.1,346366,168803,177563,95,66,29,185622,160839
Tonkolili,SLE0205,2610026,531435,7.5,263152,268283,98,424105,107330,20.2,531140,262910,268230,295,242,53,276211,255224
Western Area Rural,SLE0401,2541225,444270,6.3,221351,222919,99.1,43638,400632,90.2,443068,220536,222532,1202,815,387,267063,177207
Western Area Urban,SLE0402,3242456,1055964,14.9,528207,527757,99.4,0,1055964,100,1050711,523881,526830,5253,4326,927,683095,372869
